Player_Name,Team,Age,Position,GP,MP,PTS,REB,AST,FG%,3P%,PER,WS,USG%,VORP,Salary_2024,Contract_Years_Left,Cap_Hit_Share,Age_Norm,GP_Norm,MP_Norm,PTS_Norm,REB_Norm,AST_Norm,FG%_Norm,3P%_Norm,PER_Norm,WS_Norm,USG%_Norm,VORP_Norm,Salary_2024_Norm,Contract_Years_Left_Norm,PER_per_Million,All_Star_Votes,Is_Rookie,Rising_Stars_Consecutive,Popularity_Score
Anthony Davis,2TM,31,C,51,33.5,24.7,11.6,3.5,0.516,0.282,26.3,6.7,30.4,3.2,54126450,4,0.3838755319148936,0.5714285714285714,0.6172839506172839,0.885558583106267,0.7553516819571865,0.8345323741007193,0.3017241379310345,0.516,0.282,0.5837173579109064,0.441340782122905,0.7203791469194312,0.4210526315789474,0.7930742612520786,0.5,0.4858992230231246,144178,0,0,0.11538689318601253
Kyrie Irving,DAL,32,SG,50,36.1,24.7,4.8,4.6,0.473,0.401,19.9,4.6,27.4,2.5,36566002,4,0.2593333475177305,0.6190476190476191,0.6049382716049383,0.9564032697547684,0.7553516819571865,0.3453237410071942,0.396551724137931,0.473,0.401,0.4854070660522273,0.3240223463687151,0.6492890995260663,0.3596491228070175,0.5354375145742241,0.5,0.5442213780987049,0,0,0,0
Zion Williamson,NOP,24,PF,30,28.6,24.6,7.2,5.3,0.567,0.231,27.3,2.5,34.7,1.9,39446090,4,0.2797595035460993,0.238095238095238,0.3580246913580246,0.7520435967302452,0.7522935779816513,0.5179856115107914,0.4568965517241379,0.567,0.231,0.599078341013825,0.2067039106145251,0.8222748815165877,0.3070175438596491,0.5776925016033664,0.5,0.6920838034897756,0,0,0,0
Stephen Curry,GSW,36,PG,70,32.2,24.5,4.4,6,0.448,0.397,21.5,7.9,29.8,4.8,59606817,3,0.4227433829787234,0.8095238095238095,0.8518518518518519,0.8501362397820164,0.7492354740061161,0.3165467625899281,0.5172413793103449,0.448,0.397,0.5099846390168972,0.5083798882681565,0.7061611374407583,0.5614035087719298,0.8734790393352273,0.3333333333333333,0.3606969988013284,1031455,0,0,0.8254823059771847
LeBron James,LAL,40,SF,70,34.9,24.4,7.8,8.2,0.513,0.376,22.7,7.7,30.1,4.7,52627153,2,0.373242219858156,1,0.8518518518518519,0.9237057220708446,0.7461773700305809,0.5611510791366906,0.7068965517241379,0.513,0.376,0.5284178187403994,0.4972067039106146,0.7132701421800948,0.5526315789473685,0.7710774419577264,0.1666666666666666,0.4313362723611516,536555,0,0,0.42940958033417687
Karl-Anthony Towns,NYK,29,C,72,35,24.4,12.8,3.1,0.526,0.42,23.4,10.1,27.4,3.5,53142264,4,0.3768954893617021,0.4761904761904761,0.8765432098765432,0.9264305177111716,0.7461773700305809,0.920863309352518,0.2672413793103448,0.526,0.42,0.5391705069124424,0.6312849162011173,0.6492890995260663,0.4473684210526315,0.7786348529200194,0.5,0.440327495268173,510577,0,0,0.40861916354946465
Victor Wembanyama,SAS,21,C,46,33.2,24.3,11,3.7,0.476,0.352,24.2,3.8,30.4,3.3,13376880,3,0.0948714893617021,0.0952380952380952,0.5555555555555556,0.8773841961852861,0.7431192660550459,0.7913669064748201,0.3189655172413793,0.476,0.352,0.5514592933947773,0.2793296089385475,0.7203791469194312,0.4298245614035088,0.1952201152005939,0.3333333333333333,1.8090915071376883,769362,0,2,0.6157270243405857
Franz Wagner,ORL,23,SF,60,33.7,24.2,5.7,4.7,0.463,0.295,20.1,5.6,31,2.6,38661750,6,0.2741968085106383,0.1904761904761904,0.7283950617283951,0.891008174386921,0.7400611620795107,0.4100719424460431,0.4051724137931035,0.463,0.295,0.4884792626728111,0.3798882681564246,0.7345971563981042,0.3684210526315789,0.5661851183128428,0.8333333333333334,0.5198936933791151,0,0,0,0
Trae Young,ATL,26,PG,76,36,24.2,3.1,11.6,0.411,0.34,18.3,5.7,29.6,1.7,45999660,3,0.3262387234042553,0.3333333333333333,0.925925925925926,0.9536784741144412,0.7400611620795107,0.2230215827338129,1,0.411,0.34,0.4608294930875576,0.3854748603351955,0.7014218009478673,0.2894736842105262,0.6738426940087986,0.3333333333333333,0.3978290274319419,0,0,0,0
Donovan Mitchell,CLE,28,SG,71,31.4,24,4.5,5,0.443,0.368,20.9,7.6,30.9,3.2,46394100,4,0.3290361702127659,0.4285714285714285,0.8641975308641975,0.8283378746594005,0.7339449541284403,0.3237410071942446,0.4310344827586207,0.443,0.368,0.5007680491551458,0.4916201117318435,0.7322274881516587,0.4210526315789474,0.6796296897824606,0.5,0.4504883164023011,851155,0,0,0.6811866655782469
Cam Thomas,BRK,23,SG,25,31.2,24,3.3,3.8,0.438,0.349,18,1.2,32.6,0.5,5993172,2,0.0425047659574468,0.1904761904761904,0.2962962962962963,0.8228882833787465,0.7339449541284403,0.237410071942446,0.3275862068965517,0.438,0.349,0.456221198156682,0.1340782122905028,0.7725118483412322,0.1842105263157894,0.0868906177105955,0.1666666666666666,3.003417889558317,0,0,0,0
Tyler Herro,MIA,25,SG,77,35.4,23.9,5.2,5.5,0.472,0.375,19.7,7.4,28,3.5,31000000,3,0.2198581560283688,0.2857142857142857,0.9382716049382716,0.9373297002724794,0.7308868501529051,0.3741007194244604,0.4741379310344827,0.472,0.375,0.4823348694316436,0.4804469273743016,0.6635071090047393,0.4473684210526315,0.4537763492507407,0.3333333333333333,0.635483870967742,0,0,0,0
